Country, Name, Start, End, Full Name, Web reference
Canada, Pierre Trudeau, 1968-04-20,1979-06-04, Prime Minister Pierre Trudeau, http://www.worldpresidentsdb.com/Pierre-Trudeau/
Canada, Joe Clark, 1979-06-04,1980-03-03, Prime Minister Joe Clark, http://www.worldpresidentsdb.com/Joe-Clark/
Canada, John Turner, 1984-06-30,1984-09-17, Prime Minister John Turner, http://www.worldpresidentsdb.com/John-Turner/
Canada, Brian Mulroney, 1984-09-17,1993-06-25, Prime Minister Brian Mulroney, http://www.worldpresidentsdb.com/Brian-Mulroney/
Canada, Kim Campbell, 1993-06-25,1993-11-04, Prime Minister Kim Campbell, http://www.worldpresidentsdb.com/Kim-Campbell/
Canada, Jean Chretien, 1993-11-04,2003-12-12, Prime Minister Jean Chretien, http://www.worldpresidentsdb.com/Jean-Chretien/
Canada, Paul Martin, 2003-12-12,2006-02-06, Prime Minister Paul Martin, http://www.worldpresidentsdb.com/Paul-Martin/
Canada, Stephen Harper, 2006-02-06,2015-11-04, Prime Minister Stephen Harper, http://www.worldpresidentsdb.com/Stephen-Harper/
Canada, Justin Trudeau, 2015-11-04,Acting, Prime Minister Justin Truedau, http://www.worldpresidentsdb.com/Justin-Trudeau/
Panama, Ricardo Martinelli, 2009-07-01,2014-07-01, President Ricardo Martinelli, http://www.worldpresidentsdb.com/Ricardo-Martinelli/
Panama, Mireya Moscoso, 1999-09-01,2004-09-01, President Mireya Moscoso, http://www.worldpresidentsdb.com/Mireya-Moscoso/
Panama, Martin Torrijos, 2004-09-01,2009-07-01, President Martin Torrijos, http://www.worldpresidentsdb.com/Martin-Torrijos/
Panama, Juan Carlos Varela, 2014-07-01,Acting, President Juan Carlos Varela, http://www.worldpresidentsdb.com/Juan-Carlos-Varela/
Hungary, Arpad Goncz, 1990-08-04,2000-08-04, President Arpad Goncz, http://www.worldpresidentsdb.com/Arpad-Goncz/
Hungary, Ferenc Madl, 2000-08-04,2005-08-05, President Ferenc Madl, http://www.worldpresidentsdb.com/Ferenc-Madl/
Hungary, Janos Ader, 2012-05-10,Acting, President Janos Ader, http://www.worldpresidentsdb.com/Janos-Ader/
Costa Rica, Oscar Arias, 2006-05-08,2010-05-08, President Oscar Arias, http://www.worldpresidentsdb.com/Oscar-Arias/
Costa Rica, Laura Chinchilla, 2010-05-08,2014-05-08, President Laura Chinchilla, http://www.worldpresidentsdb.com/Laura-Chinchilla/
Costa Rica, Abel Pacheco, 2002-05-08,2006-05-08, President Abel Pacheco, http://www.worldpresidentsdb.com/Abel-Pacheco/
Costa Rica, Luis Guillermo Solis, 2014-05-08,Acting, President Luis Guillermo Solis, http://www.worldpresidentsdb.com/Luis-Guillermo-Solis/
France, Napoleon III, 1848-12-20,1852-12-02, President Napoleon III, http://www.worldpresidentsdb.com/Napoleon-III/
France, Adolphe Thiers, 1871-02-17,1873-05-24, President Adolphe Thiers, http://www.worldpresidentsdb.com/Adolphe-Thiers/
France, Patrice de Mac Mahon, 1873-05-24,1879-01-30, President Patrice de Mac Mahon, http://www.worldpresidentsdb.com/Patrice-de-Mac-Mahon/
France, Jules Grevy, 1879-01-30,1887-12-02, President Jules Grevy, http://www.worldpresidentsdb.com/Jules-Grevy/
France, Marie Francois Sadi Carnot, 1887-12-03,1894-06-25, President Marie Francois Sadi Carnot, http://www.worldpresidentsdb.com/Marie-Francois-Sadi-Carnot/
France, Jean Casimir Perier, 1894-06-27,1895-01-16, President Jean Casimir Perier, http://www.worldpresidentsdb.com/Jean-Casimir-Perier/
France, Felix Faure, 1895-01-17,1899-02-16, President Felix Faure, http://www.worldpresidentsdb.com/Felix-Faure/
France, Emile Loubet, 1899-02-18,1906-02-18, President Emile Loubet, http://www.worldpresidentsdb.com/Emile-Loubet/
France, Armand Fallieres, 1906-02-18,1913-02-18, President Armand Fallieres, http://www.worldpresidentsdb.com/Armand-Fallieres/
France, Raymond Poincare, 1913-02-18,1920-02-18, President Raymond Poincare, http://www.worldpresidentsdb.com/Raymond-Poincare/
France, Paul Deschanel, 1920-02-18,1920-09-21, President Paul Deschanel, http://www.worldpresidentsdb.com/Paul-Deschanel/
France, Alexandre Millerand, 1920-09-23,1924-06-11, President Alexandre Millerand, http://www.worldpresidentsdb.com/Alexandre-Millerand/
France, Gaston Doumergue, 1924-06-13,1931-06-13, President Gaston Doumergue, http://www.worldpresidentsdb.com/Gaston-Doumergue/
France, Paul Doumer, 1931-06-13,1932-05-07, President Paul Doumer, http://www.worldpresidentsdb.com/Paul-Doumer/
France, Albert Francois Lebrun, 1932-05-10,1940-07-10, President Albert Francois Lebrun, http://www.worldpresidentsdb.com/Albert-Francois-Lebrun/
France, Vincent Auriol, 1947-01-16,1954-01-16, President Vincent Auriol, http://www.worldpresidentsdb.com/Vincent-Auriol/
France, Rene Coty, 1954-01-16,1959-01-08, President Rene Coty, http://www.worldpresidentsdb.com/Rene-Coty/
